video_id,author,published_at,updated_at,like_count,text
lSXqK_zSgNU,@vitte_stinson22,2024-07-13T16:31:02Z,2024-07-13T16:31:02Z,0,"Yeah that decides it. You are my new mentor from now on. I learned ALOT from Michael Valmont from long time back and you remind me of him. It’s a shame his channel got deleted but Cest la vie.<br><br>Last decade has been quite challenging for me and I have been meaning to get back up on the horse. If he’s ur brother or friend, you should be proud of him. He’s a good lad. Cheers Adam and team."
lSXqK_zSgNU,@vitte_stinson22,2024-07-13T15:42:45Z,2024-07-13T15:42:45Z,0,This is the first video of yours I’m watching. You give me Michael Valmont vibes… idk…you might be his brother or his close friend…<br><br>Anyways thanks for your hard work. I look forward to learning from you and improving myself within the next 4 months.
lSXqK_zSgNU,@ywueeee,2024-07-12T20:09:19Z,2024-07-12T20:09:19Z,0,"i remeber that old channel before youtube deleted them, he was one of the goats"
lSXqK_zSgNU,@MrAwkwarDmusic,2024-07-12T15:49:39Z,2024-07-12T15:49:39Z,0,Bro you smooth as hell
lSXqK_zSgNU,@Wisstihrwas,2024-07-12T09:28:45Z,2024-07-12T09:28:45Z,0,The girl with the blond curles is super hot❤🎉 Thats the first type of woman i fell in love here. She was extremely female with that red cheeks and deep sea blue eyes. A absolute beauty. Further she was a dancer for hiphop and b-boying. Her booty shake was next level 😅 Get that poodle on a leash 😜
lSXqK_zSgNU,@levi_szabo,2024-07-11T08:54:59Z,2024-07-11T08:54:59Z,4,"there&#39;s no reason why ur not enough<br>ur presence, ur unique self is value. <br>drop the having and doing paradigm<br><br>smile, find her soul, her pupils, chill laid back relaxed voice<br><br>show intent<br><br>express from the core<br><br>fun flirty witty + congruent<br><br>be animated, speak with emotion, drop all the logic, no stats and facts <br><br>stack up the touches <br><br>lead close <br><br>good night"
lSXqK_zSgNU,@sujaymishra7303,2024-07-10T15:29:03Z,2024-07-10T15:29:03Z,4,The quality of this video is insane! Good stuff man
lSXqK_zSgNU,@tastytreat0133,2024-07-09T13:57:00Z,2024-07-09T13:57:00Z,15,This channel is a gem. Thank you YouTube algorithm
lSXqK_zSgNU,@andya8729,2024-07-09T08:53:23Z,2024-07-09T08:53:23Z,0,"Bro, I&#39;m glad to be one of the first ones on board! Enjoyed the video, and that&#39;s cool you show real life interactions.😊 Don&#39;t stop making new vids and good speed to your channel!"
lSXqK_zSgNU,@msilence2009,2024-07-03T10:30:08Z,2024-07-03T10:30:08Z,0,Haha I&#39;m happy I stumbled  on this channel. Where is Eddie and Richard? I miss them so much.
lSXqK_zSgNU,@MillionaireSmanga,2024-07-02T17:22:17Z,2024-07-02T17:22:17Z,4,Fuck this guy is good man
lSXqK_zSgNU,@mitotv6376,2024-07-01T04:43:22Z,2024-07-01T04:43:22Z,0,Nice
lSXqK_zSgNU,@MrConway007,2024-06-29T17:29:15Z,2024-06-29T17:32:15Z,0,"Hey Adam, love your content mate, and solid practical advice in this video. One thing that inspires me about all your videos and I know this might sound a weird thing to say is that you make me believe that guys in glasses can still get girls attracted to them, as a glasses wearer myself I’ve always felt like girls would not be attracted to me, always thinking that’s it’s “over for me” especially as I’ve gotten older because I thought girls would always not be attracted to how I look with my glasses on and instead prefer a Chad like “bad boy” look but I’m happy to see in your videos that girls don’t really seem to care (not that you don’t look good anyway because you do), it’s more my insecurity that I need to get over, but it’s tough sometimes."
lSXqK_zSgNU,@Aleksis.S,2024-06-29T09:43:52Z,2024-06-29T09:43:52Z,1,Great Video!
lSXqK_zSgNU,@matthewhoad9803,2024-06-26T20:30:05Z,2024-06-26T20:30:05Z,1,Super interesting! Youtube... the land of free knowledge
lSXqK_zSgNU,@imiplacesamacac370,2024-06-26T18:13:29Z,2024-06-26T18:14:07Z,34,1. stop censoring yourself<br>2. kill formality<br>3. make it about her (mostly)<br>4. break rapport (playfully)<br>5. be polarising
lSXqK_zSgNU,@melodicroutes,2024-06-26T18:06:03Z,2024-06-26T18:06:03Z,0,Solid advice
lSXqK_zSgNU,@TheKing-kw6mu,2024-06-25T18:53:00Z,2024-06-25T18:53:00Z,1,Very good video and editing. Wasn&#39;t bored for 1 minute. Can you make a video on approach anxiety
lSXqK_zSgNU,@user-kp1zj3co7p,2024-06-24T23:00:20Z,2024-06-24T23:00:20Z,1,"Great video Adam. Always be fun and playful outside of work. Doing the opposite, top advice💪"
lSXqK_zSgNU,@hekikoka5792,2024-06-24T21:04:03Z,2024-06-24T21:04:03Z,2,Great tips actually!!! Love the format
lSXqK_zSgNU,@bartoszklimaszewski9833,2024-06-24T06:57:23Z,2024-06-24T06:57:23Z,3,Pro tip: be handsome
lSXqK_zSgNU,@AyanokoG,2024-06-23T23:29:44Z,2024-06-23T23:36:12Z,12,"Man to man: You are the best pickup coach on Youtube, and I do not use my words lightly. But you probably already knew this. Thank you. You are so intense that I can feel the tension from the screen, truly seductive vibes."
lSXqK_zSgNU,@mr_white743,2024-06-23T22:38:18Z,2024-06-23T22:38:18Z,0,Richard please make a guest star appearance. The world needs the night bastard. Now more than ever
lSXqK_zSgNU,@mr_white743,2024-06-23T22:31:07Z,2024-06-23T22:32:29Z,0,"Awesome work guys as always. The knowledge is seeping it, reminding me of key points easily forgotten. Any plans to cover first date / second date escalation?"
lSXqK_zSgNU,@MrRicksta98,2024-06-23T21:38:48Z,2024-06-23T21:38:48Z,5,"From Mr Bean to Tyler 😂😂 Good to see the infield breakdowns, others don’t go into depth and make it so concise yet applicable 🔥"
lSXqK_zSgNU,@dimapetrichenko6190,2024-06-23T19:49:47Z,2024-06-23T19:49:47Z,1,❤❤
lSXqK_zSgNU,@IAmLorenzoF,2024-06-23T19:49:04Z,2024-06-23T19:49:04Z,2,Solid rock advice. Glad to have witness his daygame wonders in person 🫶🏽
lSXqK_zSgNU,@ZenGamer97,2024-06-23T19:40:55Z,2024-06-23T19:40:55Z,2,🔥 advice as always
