video_id,author,published_at,updated_at,like_count,text
_Am8ItTeNoQ,@SocialStoicYouTube,2024-06-24T15:19:13Z,2024-08-15T08:50:12Z,0,"For 1 to 1 coaching please email us at:   thesocialstoic@<a href=""http://gmail.com/"">gmail.com</a>"
_Am8ItTeNoQ,@o0SayNoMore0o,2024-08-15T11:12:45Z,2024-08-15T11:12:45Z,0,Bro he&#39;s back... I&#39;m straight following Eddie &amp; Richard were GOATS back in the day...
_Am8ItTeNoQ,@TechTalkwithAjit,2024-07-27T08:20:44Z,2024-07-27T08:21:23Z,0,"This is absolutely crazy content, unlike other creators&#39; contents. It helps massively to understand where one makes mistakes. I happened to approach quite a few girls and used to close with numbers but never got response. Now i can understand why I wasn&#39;t getting any response back. All of my interactions used to be in a friendly, platonic way. Thank you so much for the breakdown video. please keep uploading these videos. It helps massively."
_Am8ItTeNoQ,@DanTuber,2024-07-17T11:50:24Z,2024-07-17T11:50:24Z,1,Interesting video. Hopefully you do more of these.
_Am8ItTeNoQ,@aransingh624,2024-07-08T07:42:49Z,2024-07-08T07:42:49Z,2,Is Eddie coaching through this YouTube channel ? Or does Eddie have his own thing going on to for coaching ?
_Am8ItTeNoQ,@LiveForNowYt,2024-07-07T15:53:29Z,2024-07-07T15:53:29Z,2,Such insightful video
_Am8ItTeNoQ,@dimapetrichenko6190,2024-06-25T19:46:39Z,2024-06-25T19:46:39Z,4,Eddie is a great master 🙂
_Am8ItTeNoQ,@user-kp1zj3co7p,2024-03-28T16:15:23Z,2024-03-28T16:19:09Z,4,"Great content Ed, concise as ever. <br>The legend returns 💪"
_Am8ItTeNoQ,@ZenGamer97,2024-03-26T23:31:14Z,2024-03-26T23:31:14Z,4,Great to see Eddie back on camera!  One of the only true London day-game coaches left. Respect.
